,ds,yhat
0,2020-01-12,243316.04687959095
1,2020-01-19,253896.51469855808
2,2020-01-26,265968.5159475975
3,2020-02-02,271935.39801618666
4,2020-02-09,271056.88760147267
5,2020-02-16,267415.62076811155
6,2020-02-23,264862.64107440866
7,2020-03-01,264448.8595707865
8,2020-03-08,265341.7220780808
9,2020-03-15,266465.7522032856
10,2020-03-22,266928.2651449483
11,2020-03-29,265976.32938840915
12,2020-04-05,263561.47118853795
13,2020-04-12,260771.02659320468
14,2020-04-19,258916.8455212406
15,2020-04-26,258040.39413463036
16,2020-05-03,256943.5639584664
17,2020-05-10,255052.4390807877
18,2020-05-17,253624.05873033838
19,2020-05-24,254210.02839501703
20,2020-05-31,256007.70432395008
21,2020-06-07,255900.8682621275
22,2020-06-14,252078.08447656807
23,2020-06-21,247219.42330161174
24,2020-06-28,246801.7776580212
25,2020-07-05,253493.18074020062
26,2020-07-12,263680.83224009216
27,2020-07-19,270387.2129098253
28,2020-07-26,269749.35190905567
29,2020-08-02,264151.80074309796
30,2020-08-09,258980.5106111877
31,2020-08-16,257173.99823832593
32,2020-08-23,257656.239610724
33,2020-08-30,258384.427723729
34,2020-09-06,259177.3489022652
35,2020-09-13,260690.01016488296
36,2020-09-20,261852.94816998532
37,2020-09-27,260507.9387317053
38,2020-10-04,257289.9478877301
39,2020-10-11,257239.0230896916
40,2020-10-18,265277.40749474295
41,2020-10-25,279546.5577479378
42,2020-11-01,290858.78915056324
43,2020-11-08,290685.332004957
44,2020-11-15,279996.0714081443
45,2020-11-22,268974.7716818777
46,2020-11-29,266937.2872339925
47,2020-12-06,272750.15063970716
48,2020-12-13,276065.13101540325
49,2020-12-20,268248.24605242815
50,2020-12-27,251543.10262898673
